request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. The 90-day forecast stays at or above USD 1300.
request_63,54351.66,affordable_with_plan,partial_payment,2026-07-07:54351.66|2026-09-15:289548.34,2026-09-15,none,Pay INR 54351.66 today and the remaining INR 289548.34 on 2026-09-15. This completes the request and keeps the INR 153500 minimum protected.
request_64,48067.19,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,"Use 3 installments of INR 22082.67, starting 2024-06-11. This leaves at least INR 36100 available."
request_65,7058.41,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. The 90-day forecast stays at or above INR 80700.
request_67,578.52,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Wait until 2024-09-15, then pay USD 2094 in full. Paying earlier would put the USD 1200 minimum at risk."
request_68,1490.29,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1500 available."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. The 90-day forecast stays at or above EUR 700.
request_70,59952.21,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Wait until 2025-01-15, then pay INR 243900 in full. Paying earlier would put the INR 115000 minimum at risk."
request_71,1906717.95,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the IDR 8884800 minimum protected.
request_72,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 12200 minimum protected.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. The 90-day forecast stays at or above INR 103200.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. The 90-day forecast stays at or above ZAR 21900.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 39000 available."
request_76,871.90,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 1800 minimum protected.
request_77,60694.17,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Wait until 2025-11-15, then pay INR 60700 in full. Paying earlier would put the INR 82200 minimum at risk."
request_78,46716.72,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Wait until 2025-10-15, then pay INR 50200 in full. Paying earlier would put the INR 55200 minimum at risk."
request_79,351.65,not_affordable,not_recommended,none,2024-10-15,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 1000 minimum protected.
request_80,124833.44,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. The 90-day forecast stays at or above USD 1600.
request_82,537.46,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"Wait until 2025-01-15, then pay USD 1405.20 in full. Paying earlier would put the USD 1100 minimum at risk."
request_83,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 37800 minimum protected.
request_84,22736.54,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Wait until 2026-05-15, then pay INR 95400 in full. Paying earlier would put the INR 91300 minimum at risk."
request_85,1012972.16,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the IDR 6396300 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. The 90-day forecast stays at or above INR 84900.
request_87,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 185900 minimum protected.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25800 available."
request_89,9499498.83,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4768746.67, starting 2025-11-18. This leaves at least IDR 12534700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. The 90-day forecast stays at or above ZAR 7600.
request_91,718.08,affordable_later,wait,2024-10-15:1927.20,2024-10-15,none,"Wait until 2024-10-15, then pay EUR 1927.20 in full. Paying earlier would put the EUR 2100 minimum at risk."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. The 90-day forecast stays at or above ZAR 28100.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today. The 90-day forecast stays at or above USD 1900.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. The 90-day forecast stays at or above EUR 600.
request_95,36055.37,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 145500 minimum protected.
request_96,26281.05,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 56500 minimum protected.
request_97,2910.52,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29700 available."
request_98,8729.48,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Wait until 2025-09-15, then pay ZAR 27148 in full. Paying earlier would put the ZAR 30000 minimum at risk."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. The 90-day forecast stays at or above ZAR 49100.
request_100,27146.04,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. The 90-day forecast stays at or above INR 187400.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,19956.66,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. The 90-day forecast stays at or above ZAR 24700.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. The 90-day forecast stays at or above INR 73900.
request_106,538.44,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,"Wait until 2025-01-15, then pay EUR 2207.70 in full. Paying earlier would put the EUR 1200 minimum at risk."
request_107,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 1600 minimum protected.
request_108,4736.92,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 24100 minimum protected.
request_109,787.50,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. The 90-day forecast stays at or above IDR 23022800.
request_112,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 500 minimum protected.
request_113,28858.50,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Wait until 2026-09-15, then pay INR 36500 in full. Paying earlier would put the INR 82300 minimum at risk."
request_114,51308.12,affordable_later,wait,2026-03-15:65300,2026-03-15,none,"Wait until 2026-03-15, then pay INR 65300 in full. Paying earlier would put the INR 113400 minimum at risk."
request_115,16371.71,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Wait until 2024-10-15, then pay INR 80500 in full. Paying earlier would put the INR 38800 minimum at risk."
request_116,21153.04,not_affordable,not_recommended,none,2025-04-15,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 80300 minimum protected.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. The 90-day forecast stays at or above EUR 1000.
request_118,657.53,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available."
request_119,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 151200 minimum protected.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. The 90-day forecast stays at or above IDR 20050300.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. The 90-day forecast stays at or above USD 800.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. The 90-day forecast stays at or above IDR 18091200.
request_124,1480.83,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1600 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. The 90-day forecast stays at or above ZAR 11300.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. The 90-day forecast stays at or above INR 129700.
request_127,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 41000 minimum protected.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. The 90-day forecast stays at or above ZAR 42600.
request_129,146.56,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 800 minimum protected.
request_130,443.69,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,"Wait until 2025-01-15, then pay USD 1978.80 in full. Paying earlier would put the USD 1400 minimum at risk."
request_131,1321.73,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1100 available."
request_132,160.91,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 1100 minimum protected.
request_133,5432395.72,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the IDR 9986200 minimum protected.
request_134,7210010.38,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Wait until 2025-08-15, then pay IDR 21831000 in full. Paying earlier would put the IDR 15902500 minimum at risk."
request_135,304.80,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. The 90-day forecast stays at or above USD 500.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.40 today. The 90-day forecast stays at or above USD 1100.
request_137,32236.61,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Wait until 2026-01-15, then pay INR 80100 in full. Paying earlier would put the INR 71800 minimum at risk."
request_138,835.52,affordable_with_plan,partial_payment,2026-04-07:835.52|2026-04-15:421.42,2026-04-15,none,Pay EUR 835.52 today and the remaining EUR 421.42 on 2026-04-15. This completes the request and keeps the EUR 2300 minimum protected.
request_139,1402.63,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1500 available."
request_140,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 21600 minimum protected.
request_141,27080.15,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 67300 minimum protected.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 today. The 90-day forecast stays at or above USD 1700.
request_143,4263.10,affordable_later,wait,2025-06-15:12584,2025-06-15,none,"Wait until 2025-06-15, then pay ZAR 12584 in full. Paying earlier would put the ZAR 11300 minimum at risk."
request_144,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 600 minimum protected.
request_145,20933.80,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,"Use 3 installments of INR 75365.33, starting 2024-03-20. This leaves at least INR 155400 available."
request_146,23071.07,affordable_later,wait,2025-10-15:449400,2025-10-15,none,"Wait until 2025-10-15, then pay INR 449400 in full. Paying earlier would put the INR 108600 minimum at risk."
request_147,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 900 minimum protected.
request_148,9451.46,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Use 3 installments of ZAR 7710.56, starting 2024-06-14. This leaves at least ZAR 20000 available."
request_149,20925.52,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12706.03, starting 2025-11-18. This leaves at least ZAR 42100 available."
request_150,271.98,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 700 minimum protected.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. The 90-day forecast stays at or above IDR 31633600.
request_152,12308.77,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Use 3 installments of ZAR 4812.43, starting 2025-02-12. This leaves at least ZAR 11900 available."
request_153,177.79,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 1400 minimum protected.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1300 available."
request_155,67431.44,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 56300 minimum protected.
request_156,9818.29,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Wait until 2026-05-15, then pay ZAR 43076 in full. Paying earlier would put the ZAR 26900 minimum at risk."
request_157,6212106.70,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Wait until 2024-04-15, then pay IDR 23503000 in full. Paying earlier would put the IDR 15714100 minimum at risk."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 131400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today. The 90-day forecast stays at or above ZAR 8700.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1200 available."
request_161,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the IDR 23010400 minimum protected.
request_162,4404851.23,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the IDR 24161100 minimum protected.
request_163,13124423.31,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6692053.33, starting 2024-09-10. This leaves at least IDR 26728700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 2025-02-11. This leaves at least IDR 29550500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. The 90-day forecast stays at or above INR 95000.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. The 90-day forecast stays at or above ZAR 31200.
request_168,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. The 90-day forecast stays at or above ZAR 18700.
request_170,34275921.57,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12804480, starting 2025-08-06. This leaves at least IDR 24715800 available."
request_171,87.18,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 500 minimum protected.
request_172,9280.29,affordable_with_plan,partial_payment,2024-06-05:9280.29|2024-06-15:919.71,2024-06-15,none,Pay ZAR 9280.29 today and the remaining ZAR 919.71 on 2024-06-15. This completes the request and keeps the ZAR 27200 minimum protected.
request_173,67670.13,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-15,none,"Use 3 installments of INR 39173.33, starting 2025-11-21. This leaves at least INR 79100 available."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 today. The 90-day forecast stays at or above EUR 1700.
request_176,297.41,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 600 minimum protected.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.60 today. The 90-day forecast stays at or above USD 1300.
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This leaves at least EUR 1400 available."
request_179,11673090.12,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,"Wait until 2025-06-15, then pay IDR 41648000 in full. Paying earlier would put the IDR 41430800 minimum at risk."
request_180,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 37300 minimum protected.
request_181,351.07,affordable_later,wait,2024-05-15:5059.20,2024-05-15,none,"Wait until 2024-05-15, then pay USD 5059.20 in full. Paying earlier would put the USD 2000 minimum at risk."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. The 90-day forecast stays at or above ZAR 31100.
request_183,24808672.14,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9313546.67, starting 2026-04-10. This leaves at least IDR 11878300 available."
request_184,20090.60,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 110800 minimum protected.
request_185,393.92,affordable_later,wait,2025-12-15:1257.30,2025-12-15,none,"Wait until 2025-12-15, then pay EUR 1257.30 in full. Paying earlier would put the EUR 1300 minimum at risk."
request_186,8094.48,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 22000 minimum protected.
request_187,44971.01,affordable_later,wait,2024-10-15:187500,2024-10-15,none,"Wait until 2024-10-15, then pay INR 187500 in full. Paying earlier would put the INR 128300 minimum at risk."
request_188,195.60,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 900 minimum protected.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. The 90-day forecast stays at or above EUR 400.
request_190,621.54,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,"Wait until 2024-12-15, then pay EUR 2557.50 in full. Paying earlier would put the EUR 1600 minimum at risk."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. The 90-day forecast stays at or above EUR 500.
request_192,155.49,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 1000 minimum protected.
request_193,209.97,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1000 available."
